idmunicipio,nombre_municipio,nombre_departamento,idpais,codigodivipola,idgeodivision,origen,nombre_municipio_norm,nombre_departamento_norm,tipo_no_coincidencia,departamentos_oficiales
1136,OXFORD,AMAZONAS,425,,,NACIONAL,OXFORD,AMAZONAS,municipio_no_en_api,
1098,PTO SANTANDER,AMAZONAS,425,91669,,NACIONAL,PTO SANTANDER,AMAZONAS,municipio_no_en_api,
1094,MIRITI-PARANA,AMAZONAS,425,91460,,NACIONAL,MIRITIPARANA,AMAZONAS,municipio_no_en_api,
1163,FLORENCE,ARAUCA,425,,,NACIONAL,FLORENCE,ARAUCA,municipio_no_en_api,
1087,SAN ANDRES,ARCHIPIÉLAGO DE SAN ANDRÉS,425,88001,,NACIONAL,SAN ANDRES,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,departamento_diferente,SAN ANDRES Y PROVIDENCIA|SANTANDER
2060,LATACUNGA,BOGOTÁ,425,,,NACIONAL,LATACUNGA,BOGOTA,municipio_no_en_api,
184,SAN PABLO,BOLÍVAR,425,13670,,NACIONAL,SAN PABLO,BOLIVAR,departamento_diferente,NARINO
150,CARTAGENA DE INDIAS,BOLÍVAR,425,13001,,NACIONAL,CARTAGENA DE INDIAS,BOLIVAR,municipio_no_en_api,
1137,SILVER SPRINGS SHORES,CALDAS,425,,,NACIONAL,SILVER SPRINGS SHORES,CALDAS,municipio_no_en_api,
1135,SWEETWATER,CALDAS,425,,,NACIONAL,SWEETWATER,CALDAS,municipio_no_en_api,
357,SAN JOSE DE FRAGUA,CAQUETÁ,425,18610,,NACIONAL,SAN JOSE DE FRAGUA,CAQUETA,municipio_no_en_api,
2084,BUEY ARRIBA,CAUCA,425,,,NACIONAL,BUEY ARRIBA,CAUCA,municipio_no_en_api,
396,SOTARA  (Paispamba ),CAUCA,425,19760,,NACIONAL,SOTARA PAISPAMBA,CAUCA,municipio_no_en_api,
390,PURACE ( Coconuco ),CAUCA,425,19585,,NACIONAL,PURACE COCONUCO,CAUCA,municipio_no_en_api,
386,PATIA  (EL BORDO),CAUCA,425,19532,,NACIONAL,PATIA EL BORDO,CAUCA,municipio_no_en_api,
385,PAEZ  (Belalcazar ),CAUCA,425,19517,,NACIONAL,PAEZ BELALCAZAR,CAUCA,municipio_no_en_api,
589,ITSMINA,CHOCÓ,425,27361,,NACIONAL,ITSMINA,CHOCO,municipio_no_en_api,
583,CANTON DEL SAN PABLO,CHOCÓ,425,27135,,NACIONAL,CANTON DEL SAN PABLO,CHOCO,municipio_no_en_api,
582,BOJAYA ( Bellavista ),CHOCÓ,425,27099,,NACIONAL,BOJAYA BELLAVISTA,CHOCO,municipio_no_en_api,
581,BAJO BAUDO ( Pizarro ),CHOCÓ,425,27077,,NACIONAL,BAJO BAUDO PIZARRO,CHOCO,municipio_no_en_api,
580,BAHIA SOLANO ( Mutis ),CHOCÓ,425,27075,,NACIONAL,BAHIA SOLANO MUTIS,CHOCO,municipio_no_en_api,
577,ALTO BAUDO ( Pie de Pato ),CHOCÓ,425,27025,,NACIONAL,ALTO BAUDO PIE DE PATO,CHOCO,municipio_no_en_api,
563,UBATE,CUNDINAMARCA,425,25843,,NACIONAL,UBATE,CUNDINAMARCA,municipio_no_en_api,
535,S.ANTONIO TEQUENDAMA,CUNDINAMARCA,425,25645,,NACIONAL,SANTONIO TEQUENDAMA,CUNDINAMARCA,municipio_no_en_api,
679,SAN SEBASTIAN BUENAVIST,MAGDALENA,425,47692,,NACIONAL,SAN SEBASTIAN BUENAVIST,MAGDALENA,municipio_no_en_api,
675,PUEBLOVIEJO,MAGDALENA,425,47570,,NACIONAL,PUEBLOVIEJO,MAGDALENA,municipio_no_en_api,
660,ARIGUANI ( EL DIFICIL ),MAGDALENA,425,47058,,NACIONAL,ARIGUANI EL DIFICIL,MAGDALENA,municipio_no_en_api,
715,VISTAHERMOSA,META,425,50711,,NACIONAL,VISTAHERMOSA,META,municipio_no_en_api,
711,SAN CARLOS GUAROA,META,425,50680,,NACIONAL,SAN CARLOS GUAROA,META,municipio_no_en_api,
703,LA URIBE,META,425,50370,,NACIONAL,LA URIBE,META,municipio_no_en_api,
871,EL CARMEN,SANTANDER,425,68235,,NACIONAL,EL CARMEN,SANTANDER,departamento_diferente,NORTE DE SANTANDER
958,TOLUVIEJO,SUCRE,425,70823,,NACIONAL,TOLUVIEJO,SUCRE,municipio_no_en_api,
957,TOLU,SUCRE,425,70820,,NACIONAL,TOLU,SUCRE,municipio_no_en_api,
955,SINCE,SUCRE,425,70742,,NACIONAL,SINCE,SUCRE,municipio_no_en_api,
994,RIOBLANCO,TOLIMA,425,73616,,NACIONAL,RIOBLANCO,TOLIMA,municipio_no_en_api,
964,ARMERO (GUAYABAL),TOLIMA,425,73055,,NACIONAL,ARMERO GUAYABAL,TOLIMA,municipio_no_en_api,
1016,DARIEN-CALIMA,VALLE DEL CAUCA,425,76126,,NACIONAL,DARIENCALIMA,VALLE DEL CAUCA,municipio_no_en_api,
1013,BUGA,VALLE DEL CAUCA,425,76111,,NACIONAL,BUGA,VALLE DEL CAUCA,municipio_no_en_api,
126,BARRANQUILLA,BOYACÁ,425,08001,,NACIONAL,BARRANQUILLA,BOYACA,departamento_diferente,ATLANTICO
148,USIACURI,BOYACÁ,425,08849,,NACIONAL,USIACURI,BOYACA,departamento_diferente,ATLANTICO
147,TUBARA,BOYACÁ,425,08832,,NACIONAL,TUBARA,BOYACA,departamento_diferente,ATLANTICO
146,SUAN,BOYACÁ,425,08770,,NACIONAL,SUAN,BOYACA,departamento_diferente,ATLANTICO
145,SOLEDAD,BOYACÁ,425,08758,,NACIONAL,SOLEDAD,BOYACA,departamento_diferente,ATLANTICO
144,SANTO TOMAS,BOYACÁ,425,08685,,NACIONAL,SANTO TOMAS,BOYACA,departamento_diferente,ATLANTICO
143,SANTA LUCIA,BOYACÁ,425,08675,,NACIONAL,SANTA LUCIA,BOYACA,departamento_diferente,ATLANTICO
142,SABANALARGA,BOYACÁ,425,08638,,NACIONAL,SABANALARGA,BOYACA,departamento_diferente,ANTIOQUIA|ATLANTICO|CASANARE
141,SABANAGRANDE,BOYACÁ,425,08634,,NACIONAL,SABANAGRANDE,BOYACA,departamento_diferente,ATLANTICO
140,REPELON,BOYACÁ,425,08606,,NACIONAL,REPELON,BOYACA,departamento_diferente,ATLANTICO
139,PUERTO COLOMBIA,BOYACÁ,425,08573,,NACIONAL,PUERTO COLOMBIA,BOYACA,departamento_diferente,ATLANTICO|GUAINIA
138,PONEDERA,BOYACÁ,425,08560,,NACIONAL,PONEDERA,BOYACA,departamento_diferente,ATLANTICO
137,POLONUEVO,BOYACÁ,425,08558,,NACIONAL,POLONUEVO,BOYACA,departamento_diferente,ATLANTICO
136,PIOJO,BOYACÁ,425,08549,,NACIONAL,PIOJO,BOYACA,departamento_diferente,ATLANTICO
135,PALMAR DE VARELA,BOYACÁ,425,08520,,NACIONAL,PALMAR DE VARELA,BOYACA,departamento_diferente,ATLANTICO
134,MANATI,BOYACÁ,425,08436,,NACIONAL,MANATI,BOYACA,departamento_diferente,ATLANTICO
133,MALAMBO,BOYACÁ,425,08433,,NACIONAL,MALAMBO,BOYACA,departamento_diferente,ATLANTICO
132,LURUACO,BOYACÁ,425,08421,,NACIONAL,LURUACO,BOYACA,departamento_diferente,ATLANTICO
131,JUAN DE ACOSTA,BOYACÁ,425,08372,,NACIONAL,JUAN DE ACOSTA,BOYACA,departamento_diferente,ATLANTICO
130,GALAPA,BOYACÁ,425,08296,,NACIONAL,GALAPA,BOYACA,departamento_diferente,ATLANTICO
129,CANDELARIA,BOYACÁ,425,08141,,NACIONAL,CANDELARIA,BOYACA,departamento_diferente,ATLANTICO|VALLE DEL CAUCA
128,CAMPO DE LA CRUZ,BOYACÁ,425,08137,,NACIONAL,CAMPO DE LA CRUZ,BOYACA,departamento_diferente,ATLANTICO
127,BARANOA,BOYACÁ,425,08078,,NACIONAL,BARANOA,BOYACA,departamento_diferente,ATLANTICO
206,BUENAVISTA,BOYACÁ,425,15109,,NACIONAL,BUENAVISTA,BOYACA,departamento_diferente,CORDOBA|QUINDIO|SUCRE
1069,SAN LUIS DE PALENQUE,CASANARE,425,85325,,NACIONAL,SAN LUIS DE PALENQUE,CASANARE,municipio_no_en_api,
419,MANAURE  (Balcon Del Cesar),CESAR,425,20443,,NACIONAL,MANAURE BALCON DEL CESAR,CESAR,municipio_no_en_api,
1108,MORICHAL NUEVO,GUAINÍA,425,94888,,NACIONAL,MORICHAL NUEVO,GUAINIA,municipio_no_en_api,
1105,GUADALUPE,GUAINÍA,425,94885,,NACIONAL,GUADALUPE,GUAINIA,departamento_diferente,ANTIOQUIA|HUILA|SANTANDER
1101,GUAVIARE-BARRANCO MINAS,GUAINÍA,425,94343,,NACIONAL,GUAVIAREBARRANCO MINAS,GUAINIA,municipio_no_en_api,
758,FRANCISCO PIZARRO ( SALAHONDA ),NARIÑO,425,52520,,NACIONAL,FRANCISCO PIZARRO SALAHONDA,NARINO,municipio_no_en_api,
756,OLAYA HERRERA ( BOCAS DE SATINGA ),NARIÑO,425,52490,,NACIONAL,OLAYA HERRERA BOCAS DE SATINGA,NARINO,municipio_no_en_api,
753,MALLAMA ( PIEDRANCHA ),NARIÑO,425,52435,,NACIONAL,MALLAMA PIEDRANCHA,NARINO,municipio_no_en_api,
751,LOS ANDES ( SOTOMAYOR ),NARIÑO,425,52418,,NACIONAL,LOS ANDES SOTOMAYOR,NARINO,municipio_no_en_api,
735,EL TABLON,NARIÑO,425,52258,,NACIONAL,EL TABLON,NARINO,municipio_no_en_api,
728,CUASPUD ( CARLOSAMA ),NARIÑO,425,52224,,NACIONAL,CUASPUD CARLOSAMA,NARINO,municipio_no_en_api,
724,COLON ( GENOVA ),NARIÑO,425,52203,,NACIONAL,COLON GENOVA,NARINO,municipio_no_en_api,
720,ARBOLEDA ( BERRUECOS ),NARIÑO,425,52051,,NACIONAL,ARBOLEDA BERRUECOS,NARINO,municipio_no_en_api,
717,ALBAN ( SAN JOSE),NARIÑO,425,52019,,NACIONAL,ALBAN SAN JOSE,NARINO,municipio_no_en_api,
777,TUMACO,NARIÑO,425,52835,,NACIONAL,TUMACO,NARINO,municipio_no_en_api,
773,SANTACRUZ ( GUACHAVES ),NARIÑO,425,52699,,NACIONAL,SANTACRUZ GUACHAVES,NARINO,municipio_no_en_api,
772,SANTA BARBARA ( ISCUANDE ),NARIÑO,425,52696,,NACIONAL,SANTA BARBARA ISCUANDE,NARINO,municipio_no_en_api,
771,SAN PEDRO DE CARTAGO ( CARTAGO ),NARIÑO,425,52694,,NACIONAL,SAN PEDRO DE CARTAGO CARTAGO,NARINO,municipio_no_en_api,
765,ROBERTO PAYAN ( SAN JOSE ),NARIÑO,425,52621,,NACIONAL,ROBERTO PAYAN SAN JOSE,NARINO,municipio_no_en_api,
2430,GUAIRA,PUTUMAYO,425,,,NACIONAL,GUAIRA,PUTUMAYO,municipio_no_en_api,
1085,VALLE DEL GUAMEZ-HORMIGA,PUTUMAYO,425,86865,,NACIONAL,VALLE DEL GUAMEZHORMIGA,PUTUMAYO,municipio_no_en_api,
1080,PUERTO LEGUIZAMO,PUTUMAYO,425,86573,,NACIONAL,PUERTO LEGUIZAMO,PUTUMAYO,municipio_no_en_api,
836,DOS QUEBRADAS,RISARALDA,425,66170,,NACIONAL,DOS QUEBRADAS,RISARALDA,municipio_no_en_api,
649,HATO NUEVO,LA GUAJIRA,425,44378,,NACIONAL,HATO NUEVO,LA GUAJIRA,municipio_no_en_api,
645,DIBULLA,LA GUAJIRA,425,44090,,NACIONAL,DIBULLA,LA GUAJIRA,municipio_no_en_api,
33,CARMEN DE VIBORAL,ANTIOQUIA,425,05148,,NACIONAL,CARMEN DE VIBORAL,ANTIOQUIA,municipio_no_en_api,
11,SANTA FE DE ANTIOQUIA,ANTIOQUIA,425,05042,,NACIONAL,SANTA FE DE ANTIOQUIA,ANTIOQUIA,municipio_no_en_api,
104,SANTUARIO,ANTIOQUIA,425,05697,,NACIONAL,SANTUARIO,ANTIOQUIA,departamento_diferente,RISARALDA
81,PTO NARE (LA MAGDALENA),ANTIOQUIA,425,05585,,NACIONAL,PTO NARE LA MAGDALENA,ANTIOQUIA,municipio_no_en_api,
